Date,Stars,Helpful Votes
March/23/2017,5.0,0
May/22/2017,5.0,0
March/1/2017,5.0,0
May/16/2016,1.0,0
August/10/2014,3.0,0
December/10/2014,3.0,0
December/9/2014,4.0,0
May/20/2014,3.0,0
November/7/2014,4.0,0
November/30/2015,4.0,0
September/9/2014,5.0,0
January/3/2018,5.0,0
July/28/2013,4.0,0
September/26/2014,5.0,0
October/23/2015,4.0,0
April/23/2012,1.0,0
July/30/2016,5.0,0
September/1/2017,5.0,0
August/13/2013,2.0,0
August/4/2015,2.0,0
September/2/2016,3.0,0
May/14/2017,5.0,0
August/18/2017,4.0,0
July/8/2015,2.0,0
June/15/2017,4.0,0
September/12/2018,5.0,0
July/14/2017,5.0,0
January/7/2014,3.0,0
October/6/2016,5.0,0
September/11/2016,5.0,0
June/7/2016,3.0,0
March/25/2015,5.0,0
December/27/2015,4.0,0
September/14/2014,1.0,0
January/31/2013,5.0,0
January/24/2018,5.0,0
January/21/2015,4.0,0
September/9/2017,5.0,0
July/12/2016,2.0,0
July/5/2017,5.0,0
January/30/2016,4.0,0
December/7/2017,4.0,0
December/7/2012,4.0,0
March/29/2017,5.0,0
January/30/2016,5.0,0
July/15/2016,2.0,0
April/23/2016,5.0,0
June/20/2011,5.0,0
December/16/2016,5.0,0
April/17/2016,2.0,0
March/8/2015,4.0,0
April/17/2017,3.0,0
October/6/2013,4.0,0
July/14/2017,5.0,0
April/10/2014,3.0,0
December/30/2017,4.0,0
December/6/2017,5.0,0
September/4/2015,2.0,0
October/30/2017,2.0,0
December/22/2017,5.0,0
October/31/2015,5.0,0
April/19/2015,5.0,0
March/14/2013,5.0,0
February/25/2018,1.0,0
March/19/2016,5.0,0
January/7/2018,5.0,0
October/19/2013,2.0,0
December/15/2017,4.0,0
July/21/2014,2.0,0
May/3/2017,5.0,0
June/30/2015,1.0,0
April/19/2017,2.0,0
September/10/2018,4.0,0
August/17/2016,4.0,0
February/4/2012,5.0,0
July/18/2016,5.0,0
June/21/2017,5.0,0
June/5/2017,5.0,0
July/6/2016,5.0,0
November/10/2015,5.0,0
September/7/2017,5.0,0
July/1/2017,2.0,0
November/14/2017,5.0,0
December/11/2015,5.0,0
July/23/2014,5.0,0
January/7/2017,5.0,0
May/31/2009,5.0,0
January/15/2016,5.0,0
March/14/2018,5.0,0
November/12/2017,5.0,0
November/21/2017,4.0,0
July/15/2017,5.0,0
April/21/2018,5.0,0
May/27/2016,4.0,0
August/30/2016,3.0,0
June/15/2016,4.0,0
October/27/2017,5.0,0
March/18/2016,4.0,0
June/6/2014,5.0,0
December/18/2016,5.0,0
May/6/2014,1.0,0
February/11/2013,3.0,0
January/21/2016,2.0,0
November/8/2015,5.0,0
October/20/2017,5.0,0
August/15/2012,5.0,0
November/16/2016,3.0,0
December/22/2016,5.0,0
December/20/2011,5.0,0
October/5/2017,5.0,0
September/13/2016,4.0,0
June/19/2017,4.0,0
September/5/2016,1.0,0
December/18/2015,3.0,0
October/14/2017,5.0,0
January/11/2018,5.0,0
March/1/2016,5.0,0
May/23/2017,5.0,0
March/17/2012,5.0,0
March/8/2017,5.0,0
January/7/2017,4.0,0
September/22/2012,5.0,0
July/4/2016,5.0,0
December/3/2015,5.0,0
September/22/2018,5.0,0
March/21/2016,5.0,0
